Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
180,1,8.69,0.39,54.92,99.61,station maintenance maintenance delay departing station,station maintenance maintenance delay departing statmon,station maintenance maintenance delay departing station,,,station maintenance maintenance delay departing station,failure,Not Secure
181,0,13.66,1.47,52.93,98.53,train delay station arriving delay departing,train delay station arriving delay departing,train delay station arriving delay departing,,,train delay station arriving delay departing,failure,Not Secure
182,0,14.83,1.35,59.14,98.65,departing station maintenance arriving arriving arriving,departing station maintenance arriving arriving arriving,departing station maintenance arriving arriving arriving,,,departing station maintenance arriving arriving arriving,failure,Not Secure
183,0,7.25,1.65,59.9,98.35,station maintenance departing delay train maintenance,station maintenance departing delay train maintenance,station maintenance departing delay train maintenance,blowfish,,station maintenance departing delay train maintenance,success,Secure
184,0,9.26,0.83,57.56,99.17,delay arriving arriving train,delay arriving arriving train,delay arriving arriving train,,,delay arriving arriving train,success,Secure
185,0,13.93,0.15,59.68,99.85,maintenance station maintenance station train,maintenance station maintenance station train,maintenance station maintenance station train,rsa,,maintenance station maintenance station train,success,Secure
186,0,14.21,1.31,59.87,98.69,station station departing maintenance delay departing,station station departing maintenance delay departing,station station departing maintenance delay departing,blowfish,,station station departing maintenance delay departing,success,Secure
187,0,5.1,1.25,53.6,98.75,station train station station maintenance arriving,station train station station maintenance arriving,station train station station maintenance arriving,blowfish,,station train station station maintenance arriving,success,Secure
188,0,11.5,0.47,53.01,99.53,maintenance train arriving maintenance maintenance,maintenance train arriving maintenance maintenance,maintenance train arriving maintenance maintenance,rsa,,maintenance train arriving maintenance maintenance,failure,Not Secure
189,0,9.28,0.59,58.68,99.41,departing maintenance arriving delay,departing maintenance arriving delay,departing maintenance arriving delay,,,departing maintenance arriving delay,failure,Not Secure
190,0,13.51,1.77,52.32,98.23,train delay departing station train departing train,train delay departing station train departing train,train delay departing station train departing train,,,train delay departing station train departing train,success,Secure
191,0,11.56,1.23,54.82,98.77,station arriving maintenance arriving,station arriving maintenance arriving,station arriving maintenance arriving,blowfish,,station arriving maintenance arriving,failure,Not Secure
192,0,10.59,0.09,54.14,99.91,delay delay station,delay delay station,delay delay station,rsa,,delay delay station,failure,Not Secure
193,0,7.78,0.39,51.21,99.61,arriving station station,arriving station station,arriving station station,rsa,,arriving station station,failure,Not Secure
194,0,10.27,0.98,55.15,99.02,arriving departing maintenance delay station,arriving departing maintenance delay station,arriving departing maintenance delay station,,,arriving departing maintenance delay station,failure,Not Secure
195,0,12.24,1.68,57.94,98.32,delay train train station,delay train train station,delay train train station,,,delay train train station,failure,Not Secure
196,0,7.97,1.7,50.85,98.3,departing maintenance train,departing maintenance train,departing maintenance train,blowfish,gaaaaabnlgilnhsyhb9d0hypqipwy8btap5rbfe0gqyytgzkvyj1flk3noddntikzsrspthlj9lwwt0or07odyd7dsdnjuflxkvzvhwv4dux1ti2hsrjfmvydeazzh8758zc74kny333,departing maintenance train,failure,Not Secure
197,0,14.45,0.12,53.35,99.88,maintenance delay maintenance maintenance departing,maintenance delay maintenance maintenance departing,maintenance delay maintenance maintenance departing,rsa,,maintenance delay maintenance maintenance departing,failure,Not Secure
198,0,12.25,0.86,54.81,99.14,departing train maintenance station arriving,departing train maintenance station arriving,departing train maintenance station arriving,blowfish,,departing train maintenance station arriving,success,Secure
199,0,6.05,1.02,52.31,98.98,delay departing,delay departing,delay departing,blowfish,,delay departing,failure,Not Secure
200,0,14.18,1.82,56.18,98.18,departing delay delay station station,departing delay delay station station,departing delay delay station station,blowfish,,departing delay delay station station,success,Secure
201,1,12.27,0.22,59.37,99.78,station arriving train departing arriving maintenance delay,station arriving traio departing arriving maintenance delay,station arriving train departing arriving maintenance delay,rsa,,station arriving train departing arriving maintenance delay,success,Secure
202,0,10.26,1.79,52.33,98.21,delay departing arriving station,delay departing arriving station,delay departing arriving station,,,delay departing arriving station,success,Secure
203,1,5.21,1.3,51.06,98.7,maintenance train maintenance,maintenance train maiqtenance,maintenance train maintenance,rsa,,maintenance train maintenance,success,Secure
204,1,5.18,0.94,55.24,99.06,maintenance train station maintenance maintenance train,maintenance train statioc maintenance maintenance train,maintenance train station maintenance maintenance train,,,maintenance train station maintenance maintenance train,failure,Not Secure
205,0,11.16,0.03,50.51,99.97,delay maintenance delay station,delay maintenance delay station,delay maintenance delay station,,,delay maintenance delay station,success,Secure
206,0,6.69,1.57,54.91,98.43,maintenance arriving station train maintenance departing,maintenance arriving station train maintenance departing,maintenance arriving station train maintenance departing,rsa,,maintenance arriving station train maintenance departing,failure,Not Secure
207,0,5.81,0.24,56.66,99.76,maintenance station,maintenance station,maintenance station,rsa,,maintenance station,failure,Not Secure
208,0,5.93,1.08,59.77,98.92,departing departing delay delay train,departing departing delay delay train,departing departing delay delay train,blowfish,,departing departing delay delay train,failure,Not Secure
209,0,10.45,1.13,55.66,98.87,train maintenance arriving departing station delay,train maintenance arriving departing station delay,train maintenance arriving departing station delay,blowfish,,train maintenance arriving departing station delay,success,Secure
210,0,13.7,0.72,52.18,99.28,arriving train departing delay station maintenance station,arriving train departing delay station maintenance station,arriving train departing delay station maintenance station,,,arriving train departing delay station maintenance station,failure,Not Secure
211,1,8.69,1.28,54.2,98.72,maintenance train delay arriving,maintenvnce train delay arriving,maintenance train delay arriving,blowfish,,maintenance train delay arriving,success,Secure
212,0,13.24,0.23,51.81,99.77,arriving train arriving arriving delay delay delay,arriving train arriving arriving delay delay delay,arriving train arriving arriving delay delay delay,blowfish,,arriving train arriving arriving delay delay delay,failure,Not Secure
213,0,6.12,1.02,55.7,98.98,maintenance departing arriving delay arriving,maintenance departing arriving delay arriving,maintenance departing arriving delay arriving,rsa,,maintenance departing arriving delay arriving,failure,Not Secure
